AccX,AccY,AccZ,Tmp,GyroX,GyroY,GyroZ
-7156,6488,12132,33.05,-186,-92,1
-7136,6460,12220,33.09,-150,-56,-29
-7252,6484,12288,33.00,-280,-11,17
-7084,6396,12512,33.05,-495,-58,34
-7180,6448,12112,33.14,-60,-14,-42
-7144,6344,12388,33.00,-341,-71,-5
-7184,6424,12272,33.00,-245,6,-1
-7172,6500,12144,33.00,-544,-69,16
-7212,6352,12440,33.09,-359,-90,9
-7168,6432,12376,33.05,-190,-12,-3
-7184,6384,12336,33.00,-77,-78,-22
-7180,6412,12396,33.00,-103,-38,13
-7152,6400,12416,33.05,-266,-68,-4
-7196,6500,12280,33.09,78,7,-56
-7124,6272,12228,33.00,-294,0,-2
-7036,6408,12252,33.00,-318,-57,-12
-7156,6476,12232,33.14,-90,-50,-24
-7316,6556,12244,33.00,-319,-74,12
-7144,6352,12324,33.09,-282,-40,-1
-7156,6368,12164,33.05,-227,-4,6
-7188,6400,12268,33.05,-229,-45,-4
-7192,6336,12272,33.05,-290,-23,-13
-7092,6432,12364,33.14,-276,-30,15
-7268,6444,12180,33.00,-102,-29,-28
-7116,6488,12196,33.00,-241,-19,2
-7176,6392,12300,33.05,-381,-58,-9
-7132,6424,12160,33.09,-15,-46,-34
-7104,6448,12220,33.09,-84,-83,-51
-7220,6404,12104,33.19,-313,-122,-19
-7248,6424,12296,33.00,44,-16,-58
-7172,6472,12228,33.05,-333,-54,-13
-7172,6400,12140,33.05,-137,-28,-4
-7076,6552,12260,33.05,-432,-64,12
-7244,6392,12260,33.09,-280,-10,6
-7192,6416,12268,32.95,-9,-82,-16
-7172,6356,12292,33.00,-486,-39,37
-7164,6476,12356,33.05,-380,-75,12
-7196,6404,12288,32.95,-151,-47,-7
-7256,6404,12244,33.09,-400,-33,12
-7260,6388,12344,33.09,-151,-15,-3
-7144,6380,12252,33.05,-427,-62,6
-7060,6380,12232,33.00,-102,-19,-43
-7232,6384,12148,33.00,-379,-62,26
-7176,6496,12108,33.00,-273,-35,-24
-7128,6332,12168,33.19,-290,-64,-6
-7200,6412,12360,32.95,-194,-41,-3
-7196,6444,12152,33.05,-267,-50,-14
-7256,6352,12352,33.09,-222,-37,-3
-7148,6460,12268,33.09,-254,-37,-8
-7168,6400,12328,33.09,-195,-51,-15
-7204,6464,12212,33.14,-311,-48,6
-7156,6420,12252,33.09,-330,-71,18
-7144,6428,12156,33.09,-180,0,12
-7192,6388,12176,33.09,-189,-28,-6
-7228,6376,12364,33.09,-284,-28,13
-7248,6440,12264,33.05,-153,-24,-13
-7156,6496,12360,33.14,-415,-93,-1
-7176,6472,12328,33.05,-34,-37,-35
-7216,6536,12352,33.09,-279,-85,5
-7192,6464,12164,33.14,-256,-42,-13
-7220,6332,12204,33.05,-330,-63,-14
-7080,6336,12128,33.14,-170,-34,12
-7252,6480,12192,33.09,-268,-93,3
-7232,6380,12332,33.14,-197,-47,-15
-7172,6368,12160,33.05,-237,-77,-21
-7148,6460,12304,33.05,-223,-51,-9
-7252,6372,12168,33.05,-289,-65,-20
-7164,6324,12176,33.05,-163,-55,10
-7220,6380,12300,33.09,-301,-76,-5
-7188,6464,12368,33.05,-167,-49,4
-7236,6412,12224,33.00,-351,-51,-7
-7188,6352,12380,33.09,-238,-49,-2
-7236,6448,12168,33.05,-195,-14,-19
-7148,6400,12200,33.14,-186,-50,-4
-7128,6376,12280,33.00,-253,-34,-9
-7096,6432,12144,33.09,-138,2,-7
-7032,6432,12348,33.05,-343,-51,22
-7252,6432,12344,33.09,-83,-77,-30
-7192,6384,12188,33.19,-197,-96,-24
-7184,6412,12172,33.05,-203,-88,-10
-7096,6428,12300,33.05,-313,-67,8
-7204,6472,12324,33.09,-344,-30,-15
-7084,6440,12064,33.09,-167,-16,-19
-7196,6508,12376,33.09,-272,-72,1
-7228,6380,12312,33.05,-240,-28,2
-7184,6332,12492,33.09,-275,-54,8
-7096,6508,12288,33.14,-268,-38,15
-7280,6380,12196,33.14,-183,-23,-24
-7100,6440,12372,33.05,-334,-22,-8
-7208,6408,12344,33.09,-204,-29,19
-7068,6468,12272,33.00,-348,-37,0
-7244,6396,12324,33.09,-281,-3,9
-7124,6340,12196,33.24,-317,-49,20
-7212,6420,12332,33.09,-127,-37,-27
-7132,6368,12276,33.09,-243,-35,4
-7168,6336,12124,33.05,-397,-17,19
-7112,6392,12240,33.05,-107,-26,-14
-7220,6476,12252,33.09,-305,-89,-10
-7076,6404,12204,33.09,-147,-32,-24
-7072,6372,12244,33.09,-304,-49,2
-7220,6468,12316,33.05,-192,-79,-3
-7112,6384,12352,33.05,-124,-32,-19
-7272,6432,12176,33.19,-249,-26,-4
-7092,6340,12360,33.09,-273,-39,1
-7152,6504,12412,33.05,-323,33,34
-7216,6372,12116,33.00,-50,-20,-19
-7200,6360,12276,33.14,-324,-61,-2
-7152,6432,12244,33.14,-151,-13,-2
-7144,6464,12148,33.09,-288,1,42
-7108,6480,12316,33.09,-215,-7,10
-7144,6448,12208,33.09,-285,-82,19
-7152,6468,12280,33.14,-83,2,-25
-7200,6396,12176,33.19,-506,-68,12
-7172,6392,12216,33.14,-134,-37,-16
-7220,6452,12328,33.14,-362,-38,5
-7160,6388,12304,33.09,-185,-25,-4
-7292,6384,12232,33.09,-390,-52,0
-7280,6312,12144,33.14,-304,-73,-2
-7220,6428,12316,33.09,-201,-38,-19
-7120,6468,12140,33.09,-444,-85,18
-7184,6384,12164,33.05,-163,-11,-24
-7276,6400,12448,33.05,-139,-5,-1
-7184,6436,12248,33.19,-14,13,-29
-6984,6388,12268,33.05,-393,-59,22
-7112,6556,12276,33.14,-38,-10,-28
-7248,6296,12332,33.09,-370,-26,57
-7280,6476,12184,33.09,-256,27,2
-7212,6336,12372,33.09,-286,-51,39
-7212,6476,12240,33.09,-209,-53,24
-7224,6384,12232,33.14,-419,-12,55
-7184,6428,12208,33.14,-67,-26,-35
-7200,6368,12200,33.09,-221,-80,-8
-7260,6388,12188,33.09,-172,13,-12
-7160,6264,12444,33.05,-575,-56,43
-7304,6384,12304,33.14,-58,-74,11
-7276,6460,12340,33.09,-9,44,-32
-7212,6400,12248,33.19,-564,-75,49
-7096,6388,12308,33.19,2,26,-61
-7152,6472,12304,33.09,-362,-57,-6
